time,total,errors,ber
0,128,27,0.2109375
1,128,23,0.1796875
2,128,13,0.1015625
3,128,3,0.0234375
4,128,5,0.0390625
5,128,13,0.1015625
6,128,6,0.046875
7,128,5,0.0390625
8,128,10,0.078125
9,128,8,0.0625
10,128,16,0.125
11,128,12,0.09375
12,128,12,0.09375
13,128,6,0.046875
14,128,8,0.0625
15,128,9,0.0703125
16,128,11,0.0859375
17,128,16,0.125
18,128,10,0.078125
19,128,13,0.1015625
20,128,7,0.0546875
21,128,6,0.046875
22,128,5,0.0390625
23,128,8,0.0625
24,128,10,0.078125
25,128,10,0.078125
26,128,8,0.0625
27,128,12,0.09375
28,128,7,0.0546875
29,128,7,0.0546875
30,128,5,0.0390625
31,128,6,0.046875
32,128,27,0.2109375
33,128,41,0.3203125
34,128,51,0.3984375
35,128,59,0.4609375
36,128,63,0.4921875
37,128,46,0.359375
38,128,55,0.4296875
39,128,46,0.359375
40,128,57,0.4453125
41,128,50,0.390625
42,128,58,0.453125
43,128,53,0.4140625
44,128,63,0.4921875
45,128,56,0.4375
46,128,56,0.4375
47,128,65,0.5078125
48,128,59,0.4609375
49,128,58,0.453125
50,128,62,0.484375
51,128,58,0.453125
52,128,62,0.484375
53,128,55,0.4296875
54,128,63,0.4921875
55,128,67,0.5234375
56,128,57,0.4453125
57,128,64,0.5
58,128,65,0.5078125
59,128,63,0.4921875
60,128,51,0.3984375
61,128,58,0.453125
62,128,52,0.40625
63,128,52,0.40625
64,128,45,0.3515625
65,128,61,0.4765625
66,128,52,0.40625
67,128,66,0.515625
68,128,60,0.46875
69,128,52,0.40625
70,128,51,0.3984375
71,128,55,0.4296875
72,128,54,0.421875
73,128,61,0.4765625
74,128,57,0.4453125
75,128,64,0.5
76,128,59,0.4609375
77,128,53,0.4140625
78,128,54,0.421875
79,128,58,0.453125
80,128,52,0.40625
81,128,51,0.3984375
82,128,51,0.3984375
83,128,64,0.5
84,128,55,0.4296875
85,128,56,0.4375
86,128,63,0.4921875
87,128,52,0.40625
88,128,60,0.46875
89,128,62,0.484375
90,128,54,0.421875
91,128,59,0.4609375
92,128,53,0.4140625
93,128,57,0.4453125
94,128,50,0.390625
95,128,53,0.4140625
96,128,67,0.5234375
97,128,62,0.484375
98,128,64,0.5
99,128,53,0.4140625
100,128,51,0.3984375
101,128,57,0.4453125
102,128,46,0.359375
103,128,65,0.5078125
104,128,60,0.46875
105,128,60,0.46875
106,128,56,0.4375
107,128,61,0.4765625
108,128,48,0.375
109,128,48,0.375
110,128,57,0.4453125
111,128,59,0.4609375
112,128,60,0.46875
113,128,64,0.5
114,128,57,0.4453125
115,128,57,0.4453125
116,128,58,0.453125
117,128,60,0.46875
118,128,70,0.546875
119,128,44,0.34375
120,128,49,0.3828125
121,128,61,0.4765625
122,128,59,0.4609375
123,128,54,0.421875
124,128,55,0.4296875
125,128,52,0.40625
126,128,51,0.3984375
127,128,56,0.4375
128,128,58,0.453125
129,128,59,0.4609375
130,128,61,0.4765625
131,128,53,0.4140625
132,128,52,0.40625
133,128,53,0.4140625
134,128,57,0.4453125
