flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
0,0,0,0,1,0,1,-0.2623177170753479,0.6744897365570068,0.9368074536323547
1,0,0,1,0,0,0,-0.18620041012763977,-0.6744897365570068,0.48828932642936707
2,0,0,2,0,0,0,-0.9899880886077881,-0.6744897365570068,0.31549835205078125
3,0,0,3,0,0,0,-0.5918845534324646,-0.6744897365570068,0.08260518312454224
4,0,0,4,1,1,0,0.8066122531890869,0.6744897365570068,0.13212251663208008
5,0,0,5,1,1,0,0.5085185170173645,0.6744897365570068,0.16597121953964233
6,0,0,6,1,1,0,0.03195119649171829,0.6744897365570068,0.6425385400652885
7,0,0,7,1,0,1,-0.3233737647533417,0.6744897365570068,0.9978635013103485
8,0,0,8,1,1,0,0.6332169771194458,0.6744897365570068,0.041272759437561035
9,0,0,9,1,1,0,0.22434277832508087,0.6744897365570068,0.45014695823192596
10,0,0,10,0,0,0,-1.1124436855316162,-0.6744897365570068,0.4379539489746094
11,0,0,11,1,1,0,0.05881638079881668,0.6744897365570068,0.6156733557581902
12,0,0,12,0,0,0,-1.0393600463867188,-0.6744897365570068,0.3648703098297119
13,0,0,13,1,0,1,-0.2502593696117401,0.6744897365570068,0.924749106168747
14,0,0,14,1,0,1,-0.2479468584060669,0.6744897365570068,0.9224365949630737
15,0,0,15,0,0,0,-0.9524626731872559,-0.6744897365570068,0.277972936630249
16,0,1,0,0,0,0,-0.6286302804946899,-0.6744897365570068,0.045859456062316895
17,0,1,1,1,1,0,0.5410807132720947,0.6744897365570068,0.1334090232849121
18,0,1,2,1,1,0,0.32832226157188416,0.6744897365570068,0.3461674749851227
19,0,1,3,0,1,1,0.09328313171863556,-0.6744897365570068,0.7677728682756424
20,0,1,4,0,1,1,0.15415924787521362,-0.6744897365570068,0.8286489844322205
21,0,1,5,1,1,0,0.6316982507705688,0.6744897365570068,0.04279148578643799
22,0,1,6,1,1,0,0.5421157479286194,0.6744897365570068,0.13237398862838745
23,0,1,7,1,1,0,1.040285587310791,0.6744897365570068,0.3657958507537842
24,0,1,8,1,1,0,1.1607155799865723,0.6744897365570068,0.48622584342956543
25,0,1,9,1,1,0,0.8126332759857178,0.6744897365570068,0.13814353942871094
26,0,1,10,1,1,0,0.24080654978752136,0.6744897365570068,0.4336831867694855
27,0,1,11,1,1,0,0.4415251314640045,0.6744897365570068,0.23296460509300232
28,0,1,12,0,0,0,-0.4535859227180481,-0.6744897365570068,0.22090381383895874
29,0,1,13,0,0,0,-0.7243679165840149,-0.6744897365570068,0.04987818002700806
30,0,1,14,0,0,0,-0.8674910664558411,-0.6744897365570068,0.19300132989883423
31,0,1,15,0,0,0,-0.6776871085166931,-0.6744897365570068,0.0031973719596862793
32,0,2,0,1,0,1,-0.2738444209098816,0.6744897365570068,0.9483341574668884
33,0,2,1,0,0,0,-0.7515783309936523,-0.6744897365570068,0.07708859443664551
34,0,2,2,0,0,0,-0.6928516030311584,-0.6744897365570068,0.01836186647415161
35,0,2,3,1,1,0,0.3694511950016022,0.6744897365570068,0.30503854155540466
