flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
0,0,0,0,1,1,0,0.6540819406509399,0.6744897365570068,0.020407795906066895
1,0,0,1,0,0,0,-1.009102463722229,-0.6744897365570068,0.33461272716522217
2,0,0,2,0,0,0,-1.5636581182479858,-0.6744897365570068,0.889168381690979
3,0,0,3,0,0,0,-1.2929514646530151,-0.6744897365570068,0.6184617280960083
4,0,0,4,1,0,1,-0.3079787492752075,0.6744897365570068,0.9824684858322144
5,0,0,5,1,1,0,0.11333390325307846,0.6744897365570068,0.5611558333039284
6,0,0,6,1,0,1,-0.6587047576904297,0.6744897365570068,1.3331944942474365
7,0,0,7,1,0,1,-0.3269072473049164,0.6744897365570068,1.0013969838619232
8,0,0,8,1,1,0,0.0315706692636013,0.6744897365570068,0.6429190672934055
9,0,0,9,1,1,0,0.07021261751651764,0.6744897365570068,0.6042771190404892
10,0,0,10,0,0,0,-1.406785488128662,-0.6744897365570068,0.7322957515716553
11,0,0,11,1,0,1,-0.34856462478637695,0.6744897365570068,1.0230543613433838
12,0,0,12,0,0,0,-0.9526431560516357,-0.6744897365570068,0.2781534194946289
13,0,0,13,1,1,0,0.7052698135375977,0.6744897365570068,0.03078007698059082
14,0,0,14,1,1,0,0.469605028629303,0.6744897365570068,0.20488470792770386
15,0,0,15,0,0,0,-0.27415400743484497,-0.6744897365570068,0.40033572912216187
16,0,1,0,0,0,0,-1.2747166156768799,-0.6744897365570068,0.600226879119873
17,0,1,1,1,1,0,0.5785049796104431,0.6744897365570068,0.09598475694656372
18,0,1,2,1,1,0,0.4364924132823944,0.6744897365570068,0.23799732327461243
19,0,1,3,0,0,0,-1.0361111164093018,-0.6744897365570068,0.3616213798522949
20,0,1,4,0,0,0,-1.048401117324829,-0.6744897365570068,0.37391138076782227
21,0,1,5,1,1,0,0.16698816418647766,0.6744897365570068,0.5075015723705292
22,0,1,6,1,1,0,0.004022710956633091,0.6744897365570068,0.6704670256003737
23,0,1,7,1,1,0,0.17868229746818542,0.6744897365570068,0.4958074390888214
24,0,1,8,1,1,0,0.4875721335411072,0.6744897365570068,0.18691760301589966
25,0,1,9,1,1,0,0.04588934779167175,0.6744897365570068,0.6286003887653351
26,0,1,10,1,1,0,0.44612300395965576,0.6744897365570068,0.22836673259735107
27,0,1,11,1,1,0,0.2834032475948334,0.6744897365570068,0.39108648896217346
28,0,1,12,0,0,0,-1.1749522686004639,-0.6744897365570068,0.500462532043457
29,0,1,13,0,0,0,-0.7044506072998047,-0.6744897365570068,0.02996087074279785
30,0,1,14,0,0,0,-0.7081653475761414,-0.6744897365570068,0.03367561101913452
31,0,1,15,0,1,1,0.11232278496026993,-0.6744897365570068,0.7868125215172768
32,0,2,0,1,0,1,-0.009867601096630096,0.6744897365570068,0.6843573376536369
33,0,2,1,0,0,0,-0.49732422828674316,-0.6744897365570068,0.17716550827026367
34,0,2,2,0,0,0,-0.8615991473197937,-0.6744897365570068,0.18710941076278687
35,0,2,3,1,1,0,0.47103214263916016,0.6744897365570068,0.20345759391784668
36,0,2,4,0,0,0,-1.1676608324050903,-0.6744897365570068,0.4931710958480835
37,0,2,5,0,0,0,-1.438788890838623,-0.6744897365570068,0.7642991542816162
38,0,2,6,0,0,0,-1.1309558153152466,-0.6744897365570068,0.45646607875823975
39,0,2,7,1,1,0,0.33888837695121765,0.6744897365570068,0.3356013596057892
40,0,2,8,1,1,0,0.6385509967803955,0.6744897365570068,0.03593873977661133
41,0,2,9,0,0,0,-1.3579237461090088,-0.6744897365570068,0.683434009552002
42,0,2,10,0,0,0,-0.7702153921127319,-0.6744897365570068,0.0957256555557251
43,0,2,11,1,1,0,0.1915636658668518,0.6744897365570068,0.48292607069015503
44,0,2,12,1,1,0,0.41702792048454285,0.6744897365570068,0.257461816072464
45,0,2,13,1,1,0,0.5424354076385498,0.6744897365570068,0.13205432891845703
46,0,2,14,0,0,0,-0.7389711141586304,-0.6744897365570068,0.06448137760162354
47,0,2,15,0,0,0,-0.16573786735534668,-0.6744897365570068,0.5087518692016602
48,0,3,0,0,0,0,-1.1352981328964233,-0.6744897365570068,0.4608083963394165
49,0,3,1,0,0,0,-0.33365777134895325,-0.6744897365570068,0.3408319652080536
50,0,3,2,1,1,0,1.0200855731964111,0.6744897365570068,0.3455958366394043
51,0,3,3,0,0,0,-0.9163398146629333,-0.6744897365570068,0.2418500781059265
52,0,3,4,0,0,0,-0.28490063548088074,-0.6744897365570068,0.3895891010761261
53,0,3,5,1,1,0,0.4993336796760559,0.6744897365570068,0.17515605688095093
54,0,3,6,1,1,0,0.16450060904026031,0.6744897365570068,0.5099891275167465
55,0,3,7,0,0,0,-0.7319605350494385,-0.6744897365570068,0.05747079849243164
56,0,3,8,0,0,0,-0.6177698969841003,-0.6744897365570068,0.056719839572906494
57,0,3,9,0,0,0,-1.3316197395324707,-0.6744897365570068,0.6571300029754639
58,0,3,10,1,1,0,0.7136218547821045,0.6744897365570068,0.039132118225097656
59,0,3,11,1,1,0,0.09348888695240021,0.6744897365570068,0.5810008496046066
60,0,3,12,1,1,0,0.26693838834762573,0.6744897365570068,0.4075513482093811
61,0,3,13,0,0,0,-0.6827793717384338,-0.6744897365570068,0.008289635181427002
62,0,3,14,0,0,0,-1.360319972038269,-0.6744897365570068,0.6858302354812622
63,0,3,15,0,0,0,-1.0145342350006104,-0.6744897365570068,0.3400444984436035
64,0,4,0,1,1,0,0.6066291332244873,0.6744897365570068,0.06786060333251953
65,0,4,1,1,1,0,0.7409757971763611,0.6744897365570068,0.06648606061935425
66,0,4,2,0,0,0,-0.47171884775161743,-0.6744897365570068,0.2027708888053894
67,0,4,3,1,1,0,0.3536452054977417,0.6744897365570068,0.32084453105926514
68,0,4,4,0,0,0,-1.174477219581604,-0.6744897365570068,0.49998748302459717
69,0,4,5,1,1,0,0.1893087774515152,0.6744897365570068,0.48518095910549164
70,0,4,6,0,0,0,-1.5751022100448608,-0.6744897365570068,0.900612473487854
71,0,4,7,1,1,0,0.18165910243988037,0.6744897365570068,0.49283063411712646
72,0,4,8,1,1,0,0.38294684886932373,0.6744897365570068,0.2915428876876831
73,0,4,9,1,0,1,-0.36243101954460144,0.6744897365570068,1.0369207561016083
74,0,4,10,0,0,0,-1.304254174232483,-0.6744897365570068,0.6297644376754761
75,0,4,11,0,0,0,-1.8590469360351562,-0.6744897365570068,1.1845571994781494
76,0,4,12,1,0,1,-0.5057743787765503,0.6744897365570068,1.1802641153335571
77,0,4,13,0,0,0,-1.4371037483215332,-0.6744897365570068,0.7626140117645264
78,0,4,14,1,0,1,-0.3033428490161896,0.6744897365570068,0.9778325855731964
79,0,4,15,0,0,0,-0.959656834602356,-0.6744897365570068,0.2851670980453491
80,0,5,0,0,0,0,-0.9616018533706665,-0.6744897365570068,0.28711211681365967
81,0,5,1,1,1,0,0.7925599217414856,0.6744897365570068,0.11807018518447876
82,0,5,2,1,1,0,0.269226998090744,0.6744897365570068,0.4052627384662628
83,0,5,3,1,1,0,0.6946862936019897,0.6744897365570068,0.02019655704498291
84,0,5,4,1,1,0,0.47917988896369934,0.6744897365570068,0.1953098475933075
85,0,5,5,1,1,0,0.523243248462677,0.6744897365570068,0.15124648809432983
86,0,5,6,1,1,0,0.5526487231254578,0.6744897365570068,0.12184101343154907
87,0,5,7,1,0,1,-0.09443042427301407,0.6744897365570068,0.7689201608300209
88,0,5,8,0,0,0,-0.7285401225090027,-0.6744897365570068,0.05405038595199585
89,0,5,9,0,0,0,-1.2845951318740845,-0.6744897365570068,0.6101053953170776
90,0,5,10,0,0,0,-1.0122227668762207,-0.6744897365570068,0.33773303031921387
91,0,5,11,1,1,0,0.3718072175979614,0.6744897365570068,0.3026825189590454
92,0,5,12,1,0,1,-0.08376262336969376,0.6744897365570068,0.7582523599267006
93,0,5,13,1,1,0,0.5754477381706238,0.6744897365570068,0.09904199838638306
94,0,5,14,0,0,0,-0.8467839360237122,-0.6744897365570068,0.17229419946670532
95,0,5,15,0,0,0,-1.1429065465927124,-0.6744897365570068,0.46841681003570557
96,0,6,0,0,0,0,-1.5953593254089355,-0.6744897365570068,0.9208695888519287
97,0,6,1,0,0,0,-0.6260979771614075,-0.6744897365570068,0.048391759395599365
98,0,6,2,1,0,1,-0.03870391473174095,0.6744897365570068,0.7131936512887478
99,0,6,3,0,0,0,-1.0851991176605225,-0.6744897365570068,0.4107093811035156
100,0,6,4,0,0,0,-0.8740165829658508,-0.6744897365570068,0.199526846408844
101,0,6,5,1,1,0,0.14058178663253784,0.6744897365570068,0.533907949924469
102,0,6,6,0,0,0,-1.2391711473464966,-0.6744897365570068,0.5646814107894897
103,0,6,7,0,0,0,-1.2143759727478027,-0.6744897365570068,0.5398862361907959
104,0,6,8,1,1,0,0.14165106415748596,0.6744897365570068,0.5328386723995209
105,0,6,9,0,0,0,-1.0882455110549927,-0.6744897365570068,0.41375577449798584
106,0,6,10,1,0,1,-0.153824120759964,0.6744897365570068,0.8283138573169708
107,0,6,11,1,0,1,-0.06429705768823624,0.6744897365570068,0.7387867942452431
