flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
4,0,0,4,1,0,1,-0.3079787492752075,0.6744897365570068,0.9824684858322144
6,0,0,6,1,0,1,-0.6587047576904297,0.6744897365570068,1.3331944942474365
7,0,0,7,1,0,1,-0.3269072473049164,0.6744897365570068,1.0013969838619232
11,0,0,11,1,0,1,-0.34856462478637695,0.6744897365570068,1.0230543613433838
31,0,1,15,0,1,1,0.11232278496026993,-0.6744897365570068,0.7868125215172768
32,0,2,0,1,0,1,-0.009867601096630096,0.6744897365570068,0.6843573376536369
73,0,4,9,1,0,1,-0.36243101954460144,0.6744897365570068,1.0369207561016083
76,0,4,12,1,0,1,-0.5057743787765503,0.6744897365570068,1.1802641153335571
78,0,4,14,1,0,1,-0.3033428490161896,0.6744897365570068,0.9778325855731964
87,0,5,7,1,0,1,-0.09443042427301407,0.6744897365570068,0.7689201608300209
92,0,5,12,1,0,1,-0.08376262336969376,0.6744897365570068,0.7582523599267006
98,0,6,2,1,0,1,-0.03870391473174095,0.6744897365570068,0.7131936512887478
106,0,6,10,1,0,1,-0.153824120759964,0.6744897365570068,0.8283138573169708
107,0,6,11,1,0,1,-0.06429705768823624,0.6744897365570068,0.7387867942452431
112,0,7,0,1,0,1,-0.30753082036972046,0.6744897365570068,0.9820205569267273
129,0,8,1,0,1,1,0.07513880729675293,-0.6744897365570068,0.7496285438537598
142,0,8,14,1,0,1,-0.04239393770694733,0.6744897365570068,0.7168836742639542
151,0,9,7,1,0,1,-0.7546192407608032,0.6744897365570068,1.42910897731781
166,0,10,6,1,0,1,-0.024073205888271332,0.6744897365570068,0.6985629424452782
168,0,10,8,1,0,1,-0.01290529128164053,0.6744897365570068,0.6873950278386474
176,0,11,0,1,0,1,-0.055215511471033096,0.6744897365570068,0.7297052480280399
186,0,11,10,1,0,1,-0.008843440562486649,0.6744897365570068,0.6833331771194935
197,0,12,5,1,0,1,-0.2041580080986023,0.6744897365570068,0.8786477446556091
199,0,12,7,1,0,1,-0.09396400302648544,0.6744897365570068,0.7684537395834923
200,0,12,8,1,0,1,-0.4531790316104889,0.6744897365570068,1.1276687681674957
216,0,13,8,1,0,1,-0.024892427027225494,0.6744897365570068,0.6993821635842323
225,0,14,1,1,0,1,-0.010854796506464481,0.6744897365570068,0.6853445330634713
233,0,14,9,1,0,1,-0.2394556701183319,0.6744897365570068,0.9139454066753387
247,0,15,7,1,0,1,-0.29540181159973145,0.6744897365570068,0.9698915481567383
262,0,16,6,1,0,1,-0.3753863275051117,0.6744897365570068,1.0498760640621185
277,0,17,5,1,0,1,-0.36703649163246155,0.6744897365570068,1.0415262281894684
280,0,17,8,1,0,1,-0.4159374237060547,0.6744897365570068,1.0904271602630615
