channel,time_start,time_end,freq_start,freq_end,total,errors,ber
0,224,240,12,16,64,40,0.625
1,192,208,4,8,64,39,0.609375
2,144,160,8,12,64,39,0.609375
2,192,208,0,4,64,39,0.609375
6,240,256,8,12,64,39,0.609375
1,224,240,4,8,64,38,0.59375
2,208,224,12,16,64,38,0.59375
2,224,240,8,12,64,38,0.59375
0,208,224,0,4,64,37,0.578125
2,224,240,4,8,64,37,0.578125
3,240,256,8,12,64,37,0.578125
5,208,224,4,8,64,37,0.578125
6,224,240,12,16,64,37,0.578125
0,208,224,4,8,64,36,0.5625
0,208,224,12,16,64,36,0.5625
0,224,240,4,8,64,36,0.5625
2,224,240,0,4,64,36,0.5625
4,240,256,8,12,64,36,0.5625
6,240,256,12,16,64,36,0.5625
0,224,240,8,12,64,35,0.546875
1,48,64,8,12,64,35,0.546875
1,64,80,12,16,64,35,0.546875
1,208,224,12,16,64,35,0.546875
1,240,256,0,4,64,35,0.546875
1,240,256,4,8,64,35,0.546875
2,112,128,12,16,64,35,0.546875
4,208,224,8,12,64,35,0.546875
0,144,160,8,12,64,34,0.53125
1,192,208,8,12,64,34,0.53125
1,240,256,8,12,64,34,0.53125
2,64,80,12,16,64,34,0.53125
2,112,128,0,4,64,34,0.53125
2,192,208,8,12,64,34,0.53125
3,208,224,12,16,64,34,0.53125
3,240,256,4,8,64,34,0.53125
7,224,240,8,12,64,34,0.53125
7,224,240,12,16,64,34,0.53125
0,192,208,8,12,64,33,0.515625
1,0,16,8,12,64,33,0.515625
1,144,160,0,4,64,33,0.515625
1,176,192,12,16,64,33,0.515625
1,192,208,0,4,64,33,0.515625
2,144,160,4,8,64,33,0.515625
2,192,208,4,8,64,33,0.515625
2,208,224,8,12,64,33,0.515625
4,240,256,0,4,64,33,0.515625
5,208,224,0,4,64,33,0.515625
7,240,256,4,8,64,33,0.515625
0,224,240,0,4,64,32,0.5
0,240,256,0,4,64,32,0.5
1,48,64,12,16,64,32,0.5
1,208,224,0,4,64,32,0.5
2,16,32,8,12,64,32,0.5
2,144,160,0,4,64,32,0.5
2,160,176,12,16,64,32,0.5
4,240,256,4,8,64,32,0.5
4,240,256,12,16,64,32,0.5
5,240,256,0,4,64,32,0.5
6,208,224,4,8,64,32,0.5
6,224,240,4,8,64,32,0.5
6,240,256,0,4,64,32,0.5
7,208,224,4,8,64,32,0.5
0,192,208,0,4,64,31,0.484375
0,192,208,12,16,64,31,0.484375
1,144,160,4,8,64,31,0.484375
1,176,192,8,12,64,31,0.484375
1,192,208,12,16,64,31,0.484375
2,64,80,8,12,64,31,0.484375
2,240,256,4,8,64,31,0.484375
3,224,240,12,16,64,31,0.484375
3,240,256,0,4,64,31,0.484375
5,224,240,12,16,64,31,0.484375
5,240,256,8,12,64,31,0.484375
6,208,224,12,16,64,31,0.484375
7,208,224,8,12,64,31,0.484375
1,0,16,4,8,64,30,0.46875
1,80,96,12,16,64,30,0.46875
1,128,144,12,16,64,30,0.46875
2,16,32,4,8,64,30,0.46875
2,112,128,4,8,64,30,0.46875
2,128,144,12,16,64,30,0.46875
2,160,176,8,12,64,30,0.46875
3,240,256,12,16,64,30,0.46875
4,224,240,4,8,64,30,0.46875
5,224,240,8,12,64,30,0.46875
6,224,240,8,12,64,30,0.46875
7,240,256,0,4,64,30,0.46875
0,240,256,4,8,64,29,0.453125
0,240,256,8,12,64,29,0.453125
1,32,48,12,16,64,29,0.453125
1,48,64,4,8,64,29,0.453125
1,144,160,8,12,64,29,0.453125
2,0,16,4,8,64,29,0.453125
2,208,224,4,8,64,29,0.453125
2,224,240,12,16,64,29,0.453125
2,240,256,8,12,64,29,0.453125
3,208,224,8,12,64,29,0.453125
3,224,240,4,8,64,29,0.453125
4,208,224,4,8,64,29,0.453125
