time,total,errors,ber
0,128,30,0.234375
1,128,23,0.1796875
2,128,20,0.15625
3,128,16,0.125
4,128,28,0.21875
5,128,21,0.1640625
6,128,21,0.1640625
7,128,23,0.1796875
8,128,21,0.1640625
9,128,22,0.171875
10,128,25,0.1953125
11,128,20,0.15625
12,128,17,0.1328125
13,128,23,0.1796875
14,128,21,0.1640625
15,128,16,0.125
16,128,23,0.1796875
17,128,24,0.1875
18,128,21,0.1640625
19,128,29,0.2265625
20,128,28,0.21875
21,128,24,0.1875
22,128,14,0.109375
23,128,30,0.234375
24,128,29,0.2265625
25,128,21,0.1640625
26,128,22,0.171875
27,128,25,0.1953125
28,128,16,0.125
29,128,21,0.1640625
30,128,21,0.1640625
31,128,16,0.125
32,128,22,0.171875
33,128,19,0.1484375
34,128,22,0.171875
35,128,23,0.1796875
36,128,22,0.171875
37,128,26,0.203125
38,128,20,0.15625
39,128,24,0.1875
40,128,17,0.1328125
41,128,21,0.1640625
42,128,27,0.2109375
43,128,15,0.1171875
44,128,15,0.1171875
45,128,19,0.1484375
46,128,23,0.1796875
47,128,18,0.140625
48,128,23,0.1796875
49,128,26,0.203125
50,128,23,0.1796875
51,128,25,0.1953125
52,128,27,0.2109375
53,128,22,0.171875
54,128,27,0.2109375
55,128,25,0.1953125
56,128,25,0.1953125
57,128,23,0.1796875
58,128,24,0.1875
59,128,21,0.1640625
60,128,22,0.171875
61,128,26,0.203125
62,128,26,0.203125
63,128,22,0.171875
64,128,25,0.1953125
65,128,27,0.2109375
66,128,29,0.2265625
67,128,19,0.1484375
68,128,19,0.1484375
69,128,18,0.140625
70,128,19,0.1484375
71,128,18,0.140625
72,128,26,0.203125
73,128,24,0.1875
74,128,25,0.1953125
75,128,24,0.1875
76,128,24,0.1875
77,128,23,0.1796875
78,128,24,0.1875
79,128,22,0.171875
80,128,29,0.2265625
81,128,20,0.15625
82,128,33,0.2578125
83,128,28,0.21875
84,128,23,0.1796875
85,128,14,0.109375
86,128,26,0.203125
87,128,17,0.1328125
88,128,20,0.15625
89,128,24,0.1875
90,128,19,0.1484375
91,128,21,0.1640625
92,128,25,0.1953125
93,128,28,0.21875
94,128,18,0.140625
95,128,22,0.171875
96,128,23,0.1796875
97,128,22,0.171875
98,128,24,0.1875
99,128,27,0.2109375
100,128,22,0.171875
101,128,26,0.203125
102,128,16,0.125
103,128,17,0.1328125
104,128,19,0.1484375
105,128,21,0.1640625
106,128,18,0.140625
107,128,32,0.25
108,128,20,0.15625
109,128,24,0.1875
110,128,23,0.1796875
111,128,23,0.1796875
112,128,25,0.1953125
113,128,17,0.1328125
114,128,24,0.1875
115,128,29,0.2265625
116,128,20,0.15625
117,128,30,0.234375
118,128,17,0.1328125
119,128,24,0.1875
120,128,20,0.15625
121,128,28,0.21875
122,128,30,0.234375
123,128,28,0.21875
124,128,16,0.125
125,128,30,0.234375
126,128,27,0.2109375
127,128,20,0.15625
128,128,19,0.1484375
129,128,21,0.1640625
130,128,21,0.1640625
131,128,23,0.1796875
132,128,28,0.21875
133,128,24,0.1875
134,128,23,0.1796875
135,128,16,0.125
136,128,20,0.15625
137,128,22,0.171875
138,128,18,0.140625
139,128,19,0.1484375
140,128,23,0.1796875
141,128,18,0.140625
142,128,27,0.2109375
143,128,22,0.171875
144,128,21,0.1640625
145,128,24,0.1875
146,128,29,0.2265625
147,128,21,0.1640625
148,128,24,0.1875
149,128,26,0.203125
150,128,20,0.15625
151,128,23,0.1796875
152,128,21,0.1640625
153,128,23,0.1796875
154,128,22,0.171875
155,128,20,0.15625
156,128,29,0.2265625
157,128,22,0.171875
158,128,30,0.234375
159,128,21,0.1640625
160,128,33,0.2578125
161,128,28,0.21875
162,128,24,0.1875
163,128,28,0.21875
164,128,19,0.1484375
165,128,24,0.1875
166,128,23,0.1796875
167,128,19,0.1484375
168,128,21,0.1640625
169,128,26,0.203125
170,128,24,0.1875
171,128,22,0.171875
172,128,31,0.2421875
173,128,24,0.1875
174,128,33,0.2578125
175,128,20,0.15625
176,128,26,0.203125
177,128,22,0.171875
178,128,20,0.15625
179,128,31,0.2421875
180,128,22,0.171875
181,128,19,0.1484375
182,128,26,0.203125
183,128,17,0.1328125
184,128,31,0.2421875
185,128,17,0.1328125
186,128,31,0.2421875
187,128,31,0.2421875
188,128,20,0.15625
189,128,17,0.1328125
190,128,25,0.1953125
191,128,19,0.1484375
192,128,26,0.203125
193,128,32,0.25
194,128,28,0.21875
195,128,35,0.2734375
196,128,50,0.390625
197,128,61,0.4765625
198,128,66,0.515625
199,128,68,0.53125
200,128,62,0.484375
201,128,58,0.453125
202,128,56,0.4375
203,128,57,0.4453125
204,128,62,0.484375
205,128,63,0.4921875
206,128,48,0.375
207,128,63,0.4921875
208,128,61,0.4765625
209,128,66,0.515625
210,128,65,0.5078125
211,128,71,0.5546875
212,128,66,0.515625
213,128,59,0.4609375
214,128,58,0.453125
215,128,61,0.4765625
216,128,62,0.484375
217,128,53,0.4140625
218,128,66,0.515625
219,128,49,0.3828125
220,128,58,0.453125
221,128,60,0.46875
222,128,49,0.3828125
223,128,57,0.4453125
224,128,58,0.453125
225,128,62,0.484375
226,128,63,0.4921875
227,128,60,0.46875
228,128,70,0.546875
229,128,64,0.5
230,128,62,0.484375
231,128,62,0.484375
232,128,61,0.4765625
233,128,57,0.4453125
234,128,55,0.4296875
235,128,63,0.4921875
236,128,60,0.46875
237,128,63,0.4921875
238,128,55,0.4296875
239,128,65,0.5078125
240,128,60,0.46875
241,128,64,0.5
242,128,62,0.484375
243,128,62,0.484375
244,128,60,0.46875
245,128,69,0.5390625
246,128,57,0.4453125
247,128,68,0.53125
248,128,54,0.421875
249,128,54,0.421875
250,128,62,0.484375
251,128,56,0.4375
252,128,63,0.4921875
253,128,73,0.5703125
254,128,60,0.46875
255,128,58,0.453125
