flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
12288,0,3,0,0,0,0,0,-1.5742857456207275,-0.6744897365570068,0.8997960090637207
12289,1,3,0,1,0,0,0,-1.0091943740844727,-0.6744897365570068,0.3347046375274658
12290,2,3,0,2,1,1,0,0.45276889204978943,0.6744897365570068,0.2217208445072174
12291,3,3,0,3,0,0,0,-0.8819717764854431,-0.6744897365570068,0.20748203992843628
12292,4,3,0,4,0,0,0,-0.5537984371185303,-0.6744897365570068,0.12069129943847656
12293,5,3,0,5,0,0,0,-0.8551936745643616,-0.6744897365570068,0.18070393800735474
12294,6,3,0,6,1,1,0,0.030719377100467682,0.6744897365570068,0.6437703594565392
12295,7,3,0,7,0,0,0,-0.8926352262496948,-0.6744897365570068,0.218145489692688
12296,8,3,0,8,1,1,0,0.1886458396911621,0.6744897365570068,0.4858438968658447
12297,9,3,0,9,1,1,0,0.15264557301998138,0.6744897365570068,0.5218441635370255
12298,10,3,0,10,0,0,0,-0.868241012096405,-0.6744897365570068,0.1937512755393982
12299,11,3,0,11,0,0,0,-0.6956626176834106,-0.6744897365570068,0.02117288112640381
12300,12,3,0,12,1,1,0,0.23664873838424683,0.6744897365570068,0.43784099817276
12301,13,3,0,13,1,1,0,0.34056732058525085,0.6744897365570068,0.333922415971756
12302,14,3,0,14,0,0,0,-0.9292803406715393,-0.6744897365570068,0.25479060411453247
12303,15,3,0,15,1,0,1,-0.05193999409675598,0.6744897365570068,0.7264297306537628
12304,16,3,1,0,0,0,0,-1.4022854566574097,-0.6744897365570068,0.7277957201004028
12305,17,3,1,1,1,1,0,0.2971440553665161,0.6744897365570068,0.3773456811904907
12306,18,3,1,2,0,0,0,-1.0656771659851074,-0.6744897365570068,0.3911874294281006
12307,19,3,1,3,0,0,0,-0.7642000913619995,-0.6744897365570068,0.08971035480499268
12308,20,3,1,4,0,0,0,-0.8041801452636719,-0.6744897365570068,0.12969040870666504
12309,21,3,1,5,0,0,0,-0.6151670813560486,-0.6744897365570068,0.05932265520095825
12310,22,3,1,6,1,1,0,0.32927119731903076,0.6744897365570068,0.3452185392379761
12311,23,3,1,7,1,1,0,0.23302939534187317,0.6744897365570068,0.44146034121513367
12312,24,3,1,8,0,0,0,-1.290037751197815,-0.6744897365570068,0.6155480146408081
12313,25,3,1,9,0,0,0,-1.0583393573760986,-0.6744897365570068,0.3838496208190918
12314,26,3,1,10,1,1,0,0.5095489025115967,0.6744897365570068,0.16494083404541016
12315,27,3,1,11,0,0,0,-0.6982181072235107,-0.6744897365570068,0.023728370666503906
12316,28,3,1,12,1,1,0,0.5000410676002502,0.6744897365570068,0.1744486689567566
12317,29,3,1,13,1,1,0,0.5240281224250793,0.6744897365570068,0.1504616141319275
12318,30,3,1,14,1,1,0,0.518557071685791,0.6744897365570068,0.15593266487121582
12319,31,3,1,15,0,0,0,-1.6577059030532837,-0.6744897365570068,0.9832161664962769
12320,32,3,2,0,0,0,0,-1.4164856672286987,-0.6744897365570068,0.7419959306716919
12321,33,3,2,1,1,1,0,0.19660265743732452,0.6744897365570068,0.4778870791196823
12322,34,3,2,2,1,1,0,0.6611363291740417,0.6744897365570068,0.013353407382965088
12323,35,3,2,3,0,0,0,-0.8758474588394165,-0.6744897365570068,0.20135772228240967
12324,36,3,2,4,0,0,0,-0.5270988345146179,-0.6744897365570068,0.14739090204238892
12325,37,3,2,5,1,1,0,0.9737210869789124,0.6744897365570068,0.2992313504219055
12326,38,3,2,6,1,1,0,0.774328351020813,0.6744897365570068,0.09983861446380615
12327,39,3,2,7,0,0,0,-0.7402766346931458,-0.6744897365570068,0.06578689813613892
12328,40,3,2,8,0,0,0,-1.0416291952133179,-0.6744897365570068,0.36713945865631104
12329,41,3,2,9,1,1,0,0.5696647763252258,0.6744897365570068,0.104824960231781
12330,42,3,2,10,1,1,0,0.5089577436447144,0.6744897365570068,0.16553199291229248
12331,43,3,2,11,0,0,0,-0.5852182507514954,-0.6744897365570068,0.08927148580551147
12332,44,3,2,12,0,0,0,-0.7621244788169861,-0.6744897365570068,0.08763474225997925
12333,45,3,2,13,0,0,0,-0.7011259198188782,-0.6744897365570068,0.026636183261871338
12334,46,3,2,14,1,1,0,0.6465246677398682,0.6744897365570068,0.027965068817138672
12335,47,3,2,15,1,1,0,0.3056390583515167,0.6744897365570068,0.3688506782054901
12336,48,3,3,0,0,0,0,-1.5968683958053589,-0.6744897365570068,0.922378659248352
12337,49,3,3,1,0,0,0,-1.037495732307434,-0.6744897365570068,0.36300599575042725
12338,50,3,3,2,1,0,1,-0.5460471510887146,0.6744897365570068,1.2205368876457214
12339,51,3,3,3,0,0,0,-0.4263421297073364,-0.6744897365570068,0.2481476068496704
12340,52,3,3,4,1,1,0,0.7494837641716003,0.6744897365570068,0.0749940276145935
12341,53,3,3,5,1,1,0,0.08762769401073456,0.6744897365570068,0.5868620425462723
12342,54,3,3,6,1,1,0,0.35671553015708923,0.6744897365570068,0.3177742063999176
12343,55,3,3,7,0,0,0,-1.1032600402832031,-0.6744897365570068,0.4287703037261963
12344,56,3,3,8,1,1,0,0.1588187962770462,0.6744897365570068,0.5156709402799606
12345,57,3,3,9,0,0,0,-0.41938936710357666,-0.6744897365570068,0.2551003694534302
12346,58,3,3,10,0,0,0,-1.0704227685928345,-0.6744897365570068,0.39593303203582764
12347,59,3,3,11,1,1,0,0.6833406686782837,0.6744897365570068,0.008850932121276855
12348,60,3,3,12,1,1,0,0.3188139796257019,0.6744897365570068,0.35567575693130493
