flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
12303,15,3,0,15,1,0,1,-0.05193999409675598,0.6744897365570068,0.7264297306537628
12338,50,3,3,2,1,0,1,-0.5460471510887146,0.6744897365570068,1.2205368876457214
12352,64,3,4,0,1,0,1,-0.5256182551383972,0.6744897365570068,1.200107991695404
12399,111,3,6,15,1,0,1,-0.34796449542045593,0.6744897365570068,1.0224542319774628
12400,112,3,7,0,1,0,1,-0.10156910121440887,0.6744897365570068,0.7760588377714157
12416,128,3,8,0,1,0,1,-0.30302536487579346,0.6744897365570068,0.9775151014328003
12432,144,3,9,0,1,0,1,-0.44795170426368713,0.6744897365570068,1.122441440820694
12436,148,3,9,4,1,0,1,-0.059005558490753174,0.6744897365570068,0.73349529504776
12438,150,3,9,6,0,1,1,0.6388369202613831,-0.6744897365570068,1.31332665681839
12449,161,3,10,1,1,0,1,-0.6508007049560547,0.6744897365570068,1.3252904415130615
12468,180,3,11,4,1,0,1,-0.10991242527961731,0.6744897365570068,0.7844021618366241
12486,198,3,12,6,0,1,1,0.011978981085121632,-0.6744897365570068,0.6864687176421285
12495,207,3,12,15,1,0,1,-0.0670444592833519,0.6744897365570068,0.7415341958403587
12512,224,3,14,0,1,0,1,-0.7816627621650696,0.6744897365570068,1.4561524987220764
12513,225,3,14,1,1,0,1,-0.7598357200622559,0.6744897365570068,1.4343254566192627
12532,244,3,15,4,1,0,1,-0.16151510179042816,0.6744897365570068,0.836004838347435
12543,255,3,15,15,1,0,1,-0.2759057879447937,0.6744897365570068,0.9503955245018005
12544,256,3,16,0,1,0,1,-0.20144213736057281,0.6744897365570068,0.8759318739175797
12576,288,3,18,0,1,0,1,-0.3291751742362976,0.6744897365570068,1.0036649107933044
12581,293,3,18,5,1,0,1,-0.08084996789693832,0.6744897365570068,0.7553397044539452
12582,294,3,18,6,1,0,1,-0.5986750721931458,0.6744897365570068,1.2731648087501526
12598,310,3,19,6,1,0,1,-0.34387871623039246,0.6744897365570068,1.0183684527873993
12600,312,3,19,8,1,0,1,-0.2616349458694458,0.6744897365570068,0.9361246824264526
12613,325,3,20,5,1,0,1,-0.2344588190317154,0.6744897365570068,0.9089485555887222
12614,326,3,20,6,1,0,1,-0.13010752201080322,0.6744897365570068,0.8045972585678101
12624,336,3,21,0,1,0,1,-0.05054699257016182,0.6744897365570068,0.7250367291271687
12645,357,3,22,5,1,0,1,-0.11456028372049332,0.6744897365570068,0.7890500202775002
12656,368,3,23,0,1,0,1,-0.06417202204465866,0.6744897365570068,0.7386617586016655
12672,384,3,24,0,1,0,1,-0.15376976132392883,0.6744897365570068,0.8282594978809357
12690,402,3,25,2,1,0,1,-0.06344358623027802,0.6744897365570068,0.7379333227872849
12704,416,3,26,0,1,0,1,-0.08773641288280487,0.6744897365570068,0.7622261494398117
12706,418,3,26,2,1,0,1,-0.5618400573730469,0.6744897365570068,1.2363297939300537
12719,431,3,26,15,1,0,1,-0.08672855794429779,0.6744897365570068,0.7612182945013046
12722,434,3,27,2,1,0,1,-0.58758544921875,0.6744897365570068,1.2620751857757568
12738,450,3,28,2,1,0,1,-0.6367233991622925,0.6744897365570068,1.3112131357192993
12741,453,3,28,5,0,1,1,0.066068135201931,-0.6744897365570068,0.7405578717589378
