channel,time_start,time_end,freq_start,freq_end,total,errors,ber
3,192,208,4,8,64,38,0.59375
4,192,208,12,16,64,37,0.578125
3,240,256,8,12,64,36,0.5625
4,240,256,12,16,64,36,0.5625
6,240,256,12,16,64,36,0.5625
4,224,240,0,4,64,35,0.546875
5,208,224,12,16,64,35,0.546875
4,240,256,4,8,64,34,0.53125
5,240,256,0,4,64,34,0.53125
5,240,256,4,8,64,34,0.53125
6,224,240,0,4,64,34,0.53125
7,208,224,0,4,64,34,0.53125
7,240,256,4,8,64,34,0.53125
3,224,240,0,4,64,33,0.515625
3,240,256,0,4,64,33,0.515625
4,192,208,8,12,64,33,0.515625
5,208,224,0,4,64,33,0.515625
5,240,256,8,12,64,33,0.515625
6,208,224,12,16,64,33,0.515625
7,224,240,8,12,64,33,0.515625
5,192,208,12,16,64,32,0.5
5,224,240,8,12,64,32,0.5
6,192,208,0,4,64,32,0.5
3,192,208,0,4,64,31,0.484375
3,224,240,12,16,64,31,0.484375
3,240,256,12,16,64,31,0.484375
4,208,224,12,16,64,31,0.484375
4,240,256,8,12,64,31,0.484375
5,192,208,0,4,64,31,0.484375
5,208,224,4,8,64,31,0.484375
5,224,240,0,4,64,31,0.484375
6,192,208,12,16,64,31,0.484375
6,208,224,8,12,64,31,0.484375
6,240,256,4,8,64,31,0.484375
7,192,208,8,12,64,31,0.484375
7,240,256,0,4,64,31,0.484375
3,192,208,8,12,64,30,0.46875
3,208,224,0,4,64,30,0.46875
4,224,240,12,16,64,30,0.46875
7,192,208,12,16,64,30,0.46875
7,208,224,4,8,64,30,0.46875
7,240,256,8,12,64,30,0.46875
4,208,224,0,4,64,29,0.453125
4,208,224,4,8,64,29,0.453125
5,192,208,8,12,64,29,0.453125
5,208,224,8,12,64,29,0.453125
6,208,224,0,4,64,29,0.453125
7,224,240,0,4,64,29,0.453125
7,224,240,4,8,64,29,0.453125
3,224,240,8,12,64,28,0.4375
4,224,240,4,8,64,28,0.4375
5,192,208,4,8,64,28,0.4375
5,224,240,4,8,64,28,0.4375
5,240,256,12,16,64,28,0.4375
6,192,208,4,8,64,28,0.4375
6,208,224,4,8,64,28,0.4375
6,224,240,8,12,64,28,0.4375
7,224,240,12,16,64,28,0.4375
7,240,256,12,16,64,28,0.4375
3,192,208,12,16,64,27,0.421875
4,240,256,0,4,64,27,0.421875
7,208,224,8,12,64,27,0.421875
3,224,240,4,8,64,26,0.40625
3,240,256,4,8,64,26,0.40625
4,192,208,0,4,64,26,0.40625
4,208,224,8,12,64,26,0.40625
6,192,208,8,12,64,26,0.40625
6,224,240,4,8,64,26,0.40625
6,240,256,0,4,64,26,0.40625
7,192,208,0,4,64,26,0.40625
7,208,224,12,16,64,26,0.40625
3,208,224,8,12,64,25,0.390625
3,208,224,12,16,64,25,0.390625
5,224,240,12,16,64,25,0.390625
7,192,208,4,8,64,25,0.390625
6,240,256,8,12,64,24,0.375
3,208,224,4,8,64,22,0.34375
4,192,208,4,8,64,22,0.34375
6,224,240,12,16,64,22,0.34375
4,224,240,8,12,64,21,0.328125
3,48,64,0,4,64,20,0.3125
6,176,192,12,16,64,17,0.265625
3,80,96,0,4,64,16,0.25
3,112,128,0,4,64,16,0.25
3,176,192,0,4,64,16,0.25
6,176,192,0,4,64,16,0.25
7,176,192,0,4,64,16,0.25
5,176,192,8,12,64,15,0.234375
6,64,80,12,16,64,15,0.234375
