time,total,errors,ber
0,80,8,0.10000000149011612
1,80,5,0.0625
2,80,8,0.10000000149011612
3,80,10,0.125
4,80,9,0.11249999701976776
5,80,5,0.0625
6,80,4,0.05000000074505806
7,80,7,0.08749999850988388
8,80,5,0.0625
9,80,13,0.16249999403953552
10,80,9,0.11249999701976776
11,80,5,0.0625
12,80,7,0.08749999850988388
13,80,8,0.10000000149011612
14,80,10,0.125
15,80,5,0.0625
16,80,6,0.07500000298023224
17,80,6,0.07500000298023224
18,80,8,0.10000000149011612
19,80,8,0.10000000149011612
20,80,9,0.11249999701976776
21,80,3,0.03750000149011612
22,80,1,0.012500000186264515
23,80,4,0.05000000074505806
24,80,8,0.10000000149011612
25,80,10,0.125
26,80,11,0.13750000298023224
27,80,5,0.0625
28,80,11,0.13750000298023224
29,80,5,0.0625
30,80,5,0.0625
31,80,9,0.11249999701976776
32,80,8,0.10000000149011612
33,80,4,0.05000000074505806
34,80,3,0.03750000149011612
35,80,7,0.08749999850988388
36,80,9,0.11249999701976776
37,80,8,0.10000000149011612
38,80,9,0.11249999701976776
39,80,12,0.15000000596046448
40,80,6,0.07500000298023224
41,80,5,0.0625
42,80,4,0.05000000074505806
43,80,4,0.05000000074505806
44,80,3,0.03750000149011612
45,80,7,0.08749999850988388
46,80,6,0.07500000298023224
47,80,6,0.07500000298023224
48,80,2,0.02500000037252903
49,80,9,0.11249999701976776
50,80,16,0.20000000298023224
51,80,9,0.11249999701976776
52,80,8,0.10000000149011612
53,80,5,0.0625
54,80,2,0.02500000037252903
55,80,2,0.02500000037252903
56,80,5,0.0625
57,80,11,0.13750000298023224
58,80,8,0.10000000149011612
59,80,4,0.05000000074505806
60,80,10,0.125
61,80,5,0.0625
62,80,9,0.11249999701976776
63,80,7,0.08749999850988388
64,80,10,0.125
65,80,5,0.0625
66,80,5,0.0625
67,80,5,0.0625
68,80,7,0.08749999850988388
69,80,5,0.0625
70,80,5,0.0625
71,80,5,0.0625
72,80,5,0.0625
73,80,4,0.05000000074505806
74,80,1,0.012500000186264515
75,80,5,0.0625
76,80,1,0.012500000186264515
77,80,5,0.0625
78,80,9,0.11249999701976776
79,80,8,0.10000000149011612
80,80,8,0.10000000149011612
81,80,6,0.07500000298023224
82,80,13,0.16249999403953552
83,80,9,0.11249999701976776
84,80,11,0.13750000298023224
85,80,2,0.02500000037252903
86,80,4,0.05000000074505806
87,80,7,0.08749999850988388
88,80,5,0.0625
89,80,6,0.07500000298023224
90,80,8,0.10000000149011612
91,80,8,0.10000000149011612
92,80,10,0.125
93,80,14,0.17499999701976776
94,80,11,0.13750000298023224
95,80,9,0.11249999701976776
96,80,8,0.10000000149011612
97,80,8,0.10000000149011612
98,80,3,0.03750000149011612
99,80,3,0.03750000149011612
100,80,4,0.05000000074505806
101,80,3,0.03750000149011612
102,80,9,0.11249999701976776
103,80,7,0.08749999850988388
104,80,3,0.03750000149011612
105,80,6,0.07500000298023224
106,80,12,0.15000000596046448
107,80,6,0.07500000298023224
108,80,5,0.0625
109,80,3,0.03750000149011612
110,80,1,0.012500000186264515
111,80,3,0.03750000149011612
112,80,6,0.07500000298023224
113,80,2,0.02500000037252903
114,80,5,0.0625
115,80,6,0.07500000298023224
116,80,3,0.03750000149011612
117,80,14,0.17499999701976776
118,80,4,0.05000000074505806
119,80,6,0.07500000298023224
120,80,6,0.07500000298023224
121,80,5,0.0625
122,80,7,0.08749999850988388
123,80,6,0.07500000298023224
124,80,7,0.08749999850988388
125,80,3,0.03750000149011612
126,80,6,0.07500000298023224
127,80,12,0.15000000596046448
128,80,4,0.05000000074505806
129,80,10,0.125
130,80,11,0.13750000298023224
131,80,7,0.08749999850988388
132,80,6,0.07500000298023224
133,80,7,0.08749999850988388
134,80,17,0.21250000596046448
135,80,17,0.21250000596046448
136,80,7,0.08749999850988388
137,80,4,0.05000000074505806
138,80,6,0.07500000298023224
139,80,6,0.07500000298023224
140,80,1,0.012500000186264515
141,80,3,0.03750000149011612
142,80,2,0.02500000037252903
143,80,4,0.05000000074505806
144,80,4,0.05000000074505806
145,80,6,0.07500000298023224
146,80,5,0.0625
147,80,3,0.03750000149011612
