flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
12288,0,3,0,0,0,0,0,-1.5124859809875488,0.0,0.0390625,-0.6744897365570068,0.837996244430542
12289,1,3,0,1,0,0,0,-0.9538128972053528,0.0,0.0390625,-0.6744897365570068,0.27932316064834595
12290,2,3,0,2,1,1,0,0.4982259273529053,0.0,0.0390625,0.6744897365570068,0.17626380920410156
12291,3,3,0,3,0,0,0,-0.9518962502479553,0.0,0.0390625,-0.6744897365570068,0.2774065136909485
12292,4,3,0,4,0,0,0,-0.6110503077507019,0.0,0.0390625,-0.6744897365570068,0.06343942880630493
12293,5,3,0,5,0,0,0,-0.8447089791297913,0.0,0.0390625,-0.6744897365570068,0.17021924257278442
12294,6,3,0,6,1,1,0,0.008069341070950031,0.0,0.0390625,0.6744897365570068,0.6664203954860568
12295,7,3,0,7,0,0,0,-0.8745068907737732,0.0,0.0390625,-0.6744897365570068,0.20001715421676636
12296,8,3,0,8,1,1,0,0.21557830274105072,0.0,0.0390625,0.6744897365570068,0.4589114338159561
12297,9,3,0,9,1,1,0,0.08106088638305664,0.0,0.0390625,0.6744897365570068,0.5934288501739502
12298,10,3,0,10,0,0,0,-0.8453871011734009,0.0,0.0390625,-0.6744897365570068,0.17089736461639404
12299,11,3,0,11,0,0,0,-0.7209545969963074,0.0,0.0390625,-0.6744897365570068,0.04646486043930054
12300,12,3,0,12,1,1,0,0.1913757175207138,0.0,0.0390625,0.6744897365570068,0.48311401903629303
12301,13,3,0,13,1,1,0,0.2781981825828552,0.0,0.0390625,0.6744897365570068,0.3962915539741516
12302,14,3,0,14,0,0,0,-0.8986631631851196,0.0,0.0390625,-0.6744897365570068,0.2241734266281128
12303,15,3,0,15,1,0,1,-0.09665948897600174,0.0,0.0390625,0.6744897365570068,0.7711492255330086
12304,16,3,1,0,0,0,0,-1.3725805282592773,0.0390625,0.078125,-0.6744897365570068,0.6980907917022705
12305,17,3,1,1,1,1,0,0.29366034269332886,0.0390625,0.078125,0.6744897365570068,0.380829393863678
12306,18,3,1,2,0,0,0,-1.0369877815246582,0.0390625,0.078125,-0.6744897365570068,0.36249804496765137
12307,19,3,1,3,0,0,0,-0.8189788460731506,0.0390625,0.078125,-0.6744897365570068,0.1444891095161438
12308,20,3,1,4,0,0,0,-0.8182281255722046,0.0390625,0.078125,-0.6744897365570068,0.14373838901519775
12309,21,3,1,5,0,0,0,-0.6285355091094971,0.0390625,0.078125,-0.6744897365570068,0.045954227447509766
12310,22,3,1,6,1,1,0,0.332810640335083,0.0390625,0.078125,0.6744897365570068,0.34167909622192383
12311,23,3,1,7,1,1,0,0.3354285955429077,0.0390625,0.078125,0.6744897365570068,0.3390611410140991
12312,24,3,1,8,0,0,0,-1.2519491910934448,0.0390625,0.078125,-0.6744897365570068,0.577459454536438
12313,25,3,1,9,0,0,0,-1.0856437683105469,0.0390625,0.078125,-0.6744897365570068,0.41115403175354004
12314,26,3,1,10,1,1,0,0.495757520198822,0.0390625,0.078125,0.6744897365570068,0.17873221635818481
12315,27,3,1,11,0,0,0,-0.6877351403236389,0.0390625,0.078125,-0.6744897365570068,0.01324540376663208
12316,28,3,1,12,1,1,0,0.4337098002433777,0.0390625,0.078125,0.6744897365570068,0.24077993631362915
12317,29,3,1,13,1,1,0,0.5569933652877808,0.0390625,0.078125,0.6744897365570068,0.11749637126922607
12318,30,3,1,14,1,1,0,0.46131062507629395,0.0390625,0.078125,0.6744897365570068,0.2131791114807129
12319,31,3,1,15,0,0,0,-1.7105284929275513,0.0390625,0.078125,-0.6744897365570068,1.0360387563705444
12320,32,3,2,0,0,0,0,-1.4249355792999268,0.078125,0.1171875,-0.6744897365570068,0.7504458427429199
12321,33,3,2,1,1,1,0,0.19176384806632996,0.078125,0.1171875,0.6744897365570068,0.4827258884906769
12322,34,3,2,2,1,1,0,0.6340118646621704,0.078125,0.1171875,0.6744897365570068,0.040477871894836426
12323,35,3,2,3,0,0,0,-0.8790819048881531,0.078125,0.1171875,-0.6744897365570068,0.20459216833114624
12324,36,3,2,4,0,0,0,-0.4707099199295044,0.078125,0.1171875,-0.6744897365570068,0.20377981662750244
12325,37,3,2,5,1,1,0,0.9524860978126526,0.078125,0.1171875,0.6744897365570068,0.27799636125564575
12326,38,3,2,6,1,1,0,0.8870270848274231,0.078125,0.1171875,0.6744897365570068,0.21253734827041626
12327,39,3,2,7,0,0,0,-0.6974869966506958,0.078125,0.1171875,-0.6744897365570068,0.022997260093688965
12328,40,3,2,8,0,0,0,-0.9106189012527466,0.078125,0.1171875,-0.6744897365570068,0.23612916469573975
12329,41,3,2,9,1,1,0,0.5294708609580994,0.078125,0.1171875,0.6744897365570068,0.14501887559890747
12330,42,3,2,10,1,1,0,0.5823521018028259,0.078125,0.1171875,0.6744897365570068,0.09213763475418091
12331,43,3,2,11,0,0,0,-0.49331483244895935,0.078125,0.1171875,-0.6744897365570068,0.18117490410804749
12332,44,3,2,12,0,0,0,-0.8538077473640442,0.078125,0.1171875,-0.6744897365570068,0.17931801080703735
12333,45,3,2,13,0,0,0,-0.6380008459091187,0.078125,0.1171875,-0.6744897365570068,0.036488890647888184
12334,46,3,2,14,1,1,0,0.718044102191925,0.078125,0.1171875,0.6744897365570068,0.04355436563491821
12335,47,3,2,15,1,1,0,0.332292765378952,0.078125,0.1171875,0.6744897365570068,0.3421969711780548
12336,48,3,3,0,0,0,0,-1.598370909690857,0.1171875,0.15625,-0.6744897365570068,0.9238811731338501
12337,49,3,3,1,0,0,0,-1.034021019935608,0.1171875,0.15625,-0.6744897365570068,0.3595312833786011
12338,50,3,3,2,1,0,1,-0.6372865438461304,0.1171875,0.15625,0.6744897365570068,1.3117762804031372
12339,51,3,3,3,0,0,0,-0.3764822483062744,0.1171875,0.15625,-0.6744897365570068,0.2980074882507324
12340,52,3,3,4,1,1,0,0.7648853063583374,0.1171875,0.15625,0.6744897365570068,0.09039556980133057
12341,53,3,3,5,1,1,0,0.12093138694763184,0.1171875,0.15625,0.6744897365570068,0.553558349609375
12342,54,3,3,6,1,1,0,0.35061079263687134,0.1171875,0.15625,0.6744897365570068,0.3238789439201355
12343,55,3,3,7,0,0,0,-1.147651195526123,0.1171875,0.15625,-0.6744897365570068,0.4731614589691162
12344,56,3,3,8,1,1,0,0.24720320105552673,0.1171875,0.15625,0.6744897365570068,0.4272865355014801
12345,57,3,3,9,0,0,0,-0.4350165128707886,0.1171875,0.15625,-0.6744897365570068,0.23947322368621826
