flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
12303,15,3,0,15,1,0,1,-0.09665948897600174,0.0,0.0390625,0.6744897365570068,0.7711492255330086
12338,50,3,3,2,1,0,1,-0.6372865438461304,0.1171875,0.15625,0.6744897365570068,1.3117762804031372
12352,64,3,4,0,1,0,1,-0.5475148558616638,0.15625,0.1953125,0.6744897365570068,1.2220045924186707
12399,111,3,6,15,1,0,1,-0.2549273371696472,0.234375,0.2734375,0.6744897365570068,0.929417073726654
12400,112,3,7,0,1,0,1,-0.1266588568687439,0.2734375,0.3125,0.6744897365570068,0.8011485934257507
12401,113,3,7,1,1,0,1,-0.013545120134949684,0.2734375,0.3125,0.6744897365570068,0.6880348566919565
12416,128,3,8,0,1,0,1,-0.3426545262336731,0.3125,0.3515625,0.6744897365570068,1.01714426279068
12422,134,3,8,6,0,1,1,0.03800918161869049,0.3125,0.3515625,-0.6744897365570068,0.7124989181756973
12432,144,3,9,0,1,0,1,-0.5468146800994873,0.3515625,0.390625,0.6744897365570068,1.2213044166564941
12436,148,3,9,4,1,0,1,-0.06483740359544754,0.3515625,0.390625,0.6744897365570068,0.7393271401524544
12438,150,3,9,6,0,1,1,0.6181841492652893,0.3515625,0.390625,-0.6744897365570068,1.2926738858222961
12449,161,3,10,1,1,0,1,-0.6954767107963562,0.390625,0.4296875,0.6744897365570068,1.369966447353363
12468,180,3,11,4,1,0,1,-0.17897585034370422,0.4296875,0.46875,0.6744897365570068,0.8534655869007111
12486,198,3,12,6,0,1,1,0.043380044400691986,0.46875,0.5078125,-0.6744897365570068,0.7178697809576988
12493,205,3,12,13,1,0,1,-0.0035789895337074995,0.46875,0.5078125,0.6744897365570068,0.6780687260907143
12495,207,3,12,15,1,0,1,-0.05611899122595787,0.46875,0.5078125,0.6744897365570068,0.7306087277829647
12512,224,3,14,0,1,0,1,-0.7672462463378906,0.546875,0.5859375,0.6744897365570068,1.4417359828948975
12513,225,3,14,1,1,0,1,-0.7686400413513184,0.546875,0.5859375,0.6744897365570068,1.4431297779083252
12532,244,3,15,4,1,0,1,-0.10655835270881653,0.5859375,0.625,0.6744897365570068,0.7810480892658234
12543,255,3,15,15,1,0,1,-0.23003491759300232,0.5859375,0.625,0.6744897365570068,0.9045246541500092
12544,256,3,16,0,1,0,1,-0.1703411489725113,0.625,0.6640625,0.6744897365570068,0.8448308855295181
12576,288,3,18,0,1,0,1,-0.33264121413230896,0.703125,0.7421875,0.6744897365570068,1.0071309506893158
12581,293,3,18,5,1,0,1,-0.1295965313911438,0.703125,0.7421875,0.6744897365570068,0.8040862679481506
12582,294,3,18,6,1,0,1,-0.6327658891677856,0.703125,0.7421875,0.6744897365570068,1.3072556257247925
12598,310,3,19,6,1,0,1,-0.31346702575683594,0.7421875,0.78125,0.6744897365570068,0.9879567623138428
12600,312,3,19,8,1,0,1,-0.23070791363716125,0.7421875,0.78125,0.6744897365570068,0.9051976501941681
12613,325,3,20,5,1,0,1,-0.16899734735488892,0.78125,0.8203125,0.6744897365570068,0.8434870839118958
12614,326,3,20,6,1,0,1,-0.17023678123950958,0.78125,0.8203125,0.6744897365570068,0.8447265177965164
12624,336,3,21,0,1,0,1,-0.11452766507863998,0.8203125,0.859375,0.6744897365570068,0.7890174016356468
12645,357,3,22,5,1,0,1,-0.07767093926668167,0.859375,0.8984375,0.6744897365570068,0.7521606758236885
12656,368,3,23,0,1,0,1,-0.08133486658334732,0.8984375,0.9375,0.6744897365570068,0.7558246031403542
12672,384,3,24,0,1,0,1,-0.19993743300437927,0.9375,0.9765625,0.6744897365570068,0.8744271695613861
12690,402,3,25,2,1,0,1,-0.06948200613260269,0.9765625,1.015625,0.6744897365570068,0.7439717426896095
12704,416,3,26,0,1,0,1,-0.12311886996030807,1.015625,1.0546875,0.6744897365570068,0.7976086065173149
12706,418,3,26,2,1,0,1,-0.5111104249954224,1.015625,1.0546875,0.6744897365570068,1.1856001615524292
12719,431,3,26,15,1,0,1,-0.01715197041630745,1.015625,1.0546875,0.6744897365570068,0.6916417069733143
12722,434,3,27,2,1,0,1,-0.6491655111312866,1.0546875,1.09375,0.6744897365570068,1.3236552476882935
12738,450,3,28,2,1,0,1,-0.5873245000839233,1.09375,1.1328125,0.6744897365570068,1.2618142366409302
12741,453,3,28,5,0,1,1,0.13758106529712677,1.09375,1.1328125,-0.6744897365570068,0.8120708018541336
12755,467,3,29,3,1,0,1,-0.019367722794413567,1.1328125,1.171875,0.6744897365570068,0.6938574593514204
12770,482,3,30,2,1,0,1,-0.22159701585769653,1.171875,1.2109375,0.6744897365570068,0.8960867524147034
12784,496,3,31,0,1,0,1,-0.41638755798339844,1.2109375,1.25,0.6744897365570068,1.0908772945404053
12789,501,3,31,5,0,1,1,0.09277458488941193,1.2109375,1.25,-0.6744897365570068,0.7672643214464188
12790,502,3,31,6,0,1,1,0.1709499955177307,1.2109375,1.25,-0.6744897365570068,0.8454397320747375
12800,512,3,32,0,1,0,1,-0.059641581028699875,1.25,1.2890625,0.6744897365570068,0.7341313175857067
12804,516,3,32,4,1,0,1,-0.33087557554244995,1.25,1.2890625,0.6744897365570068,1.0053653120994568
12832,544,3,34,0,1,0,1,-0.24645301699638367,1.328125,1.3671875,0.6744897365570068,0.9209427535533905
12882,594,3,37,2,0,1,1,0.39741992950439453,1.4453125,1.484375,-0.6744897365570068,1.0719096660614014
12899,611,3,38,3,0,1,1,0.07295240461826324,1.484375,1.5234375,-0.6744897365570068,0.7474421411752701
12901,613,3,38,5,0,1,1,0.21670886874198914,1.484375,1.5234375,-0.6744897365570068,0.891198605298996
12914,626,3,39,2,0,1,1,0.07434839755296707,1.5234375,1.5625,-0.6744897365570068,0.7488381341099739
12915,627,3,39,3,0,1,1,0.20961585640907288,1.5234375,1.5625,-0.6744897365570068,0.8841055929660797
12916,628,3,39,4,0,1,1,0.30215126276016235,1.5234375,1.5625,-0.6744897365570068,0.9766409993171692
12917,629,3,39,5,0,1,1,0.076427161693573,1.5234375,1.5625,-0.6744897365570068,0.7509168982505798
12931,643,3,40,3,0,1,1,0.5062136054039001,1.5625,1.6015625,-0.6744897365570068,1.180703341960907
