channel,time_start,time_end,freq_start,freq_end,total,errors,ber,time_sec_start,time_sec_end
3,48,64,0,4,64,20,0.3125,1.875,2.5
3,176,192,4,8,16,5,0.3125,6.875,7.5
5,112,128,0,4,64,18,0.28125,4.375,5.0
5,160,176,0,4,64,17,0.265625,6.25,6.875
3,176,192,0,4,16,4,0.25,6.875,7.5
5,96,112,0,4,64,16,0.25,3.75,4.375
5,176,192,0,4,16,4,0.25,6.875,7.5
5,176,192,4,8,16,4,0.25,6.875,7.5
6,176,192,0,4,16,4,0.25,6.875,7.5
3,112,128,0,4,64,15,0.234375,4.375,5.0
6,80,96,0,4,64,15,0.234375,3.125,3.75
6,96,112,12,16,64,15,0.234375,3.75,4.375
3,80,96,0,4,64,14,0.21875,3.125,3.75
3,144,160,0,4,64,14,0.21875,5.625,6.25
4,112,128,0,4,64,14,0.21875,4.375,5.0
5,32,48,0,4,64,14,0.21875,1.25,1.875
5,128,144,0,4,64,14,0.21875,5.0,5.625
3,16,32,0,4,64,13,0.203125,0.625,1.25
3,160,176,0,4,64,13,0.203125,6.25,6.875
4,96,112,0,4,64,13,0.203125,3.75,4.375
6,32,48,12,16,64,13,0.203125,1.25,1.875
6,64,80,12,16,64,13,0.203125,2.5,3.125
6,80,96,4,8,64,13,0.203125,3.125,3.75
6,144,160,12,16,64,13,0.203125,5.625,6.25
7,96,112,0,4,64,13,0.203125,3.75,4.375
3,32,48,0,4,64,12,0.1875,1.25,1.875
5,0,16,0,4,64,12,0.1875,0.0,0.625
5,16,32,0,4,64,12,0.1875,0.625,1.25
5,176,192,12,16,16,3,0.1875,6.875,7.5
6,160,176,12,16,64,12,0.1875,6.25,6.875
3,128,144,0,4,64,11,0.171875,5.0,5.625
5,80,96,4,8,64,11,0.171875,3.125,3.75
5,160,176,12,16,64,11,0.171875,6.25,6.875
7,80,96,0,4,64,11,0.171875,3.125,3.75
5,0,16,8,12,64,10,0.15625,0.0,0.625
5,80,96,0,4,64,10,0.15625,3.125,3.75
5,128,144,12,16,64,10,0.15625,5.0,5.625
5,144,160,8,12,64,10,0.15625,5.625,6.25
7,0,16,0,4,64,10,0.15625,0.0,0.625
3,0,16,0,4,64,9,0.140625,0.0,0.625
3,16,32,4,8,64,9,0.140625,0.625,1.25
4,48,64,0,4,64,9,0.140625,1.875,2.5
4,80,96,0,4,64,9,0.140625,3.125,3.75
5,0,16,12,16,64,9,0.140625,0.0,0.625
5,64,80,0,4,64,9,0.140625,2.5,3.125
5,112,128,4,8,64,9,0.140625,4.375,5.0
5,160,176,4,8,64,9,0.140625,6.25,6.875
5,160,176,8,12,64,9,0.140625,6.25,6.875
6,0,16,0,4,64,9,0.140625,0.0,0.625
6,0,16,12,16,64,9,0.140625,0.0,0.625
6,64,80,0,4,64,9,0.140625,2.5,3.125
6,112,128,12,16,64,9,0.140625,4.375,5.0
7,80,96,8,12,64,9,0.140625,3.125,3.75
4,32,48,0,4,64,8,0.125,1.25,1.875
4,128,144,0,4,64,8,0.125,5.0,5.625
4,176,192,0,4,16,2,0.125,6.875,7.5
4,176,192,4,8,16,2,0.125,6.875,7.5
5,48,64,0,4,64,8,0.125,1.875,2.5
5,80,96,8,12,64,8,0.125,3.125,3.75
5,80,96,12,16,64,8,0.125,3.125,3.75
5,96,112,4,8,64,8,0.125,3.75,4.375
5,96,112,12,16,64,8,0.125,3.75,4.375
5,144,160,4,8,64,8,0.125,5.625,6.25
5,176,192,8,12,16,2,0.125,6.875,7.5
6,48,64,0,4,64,8,0.125,1.875,2.5
6,48,64,12,16,64,8,0.125,1.875,2.5
6,96,112,0,4,64,8,0.125,3.75,4.375
6,160,176,0,4,64,8,0.125,6.25,6.875
6,176,192,4,8,16,2,0.125,6.875,7.5
7,16,32,0,4,64,8,0.125,0.625,1.25
7,32,48,0,4,64,8,0.125,1.25,1.875
7,48,64,0,4,64,8,0.125,1.875,2.5
7,176,192,8,12,16,2,0.125,6.875,7.5
3,32,48,4,8,64,7,0.109375,1.25,1.875
5,16,32,4,8,64,7,0.109375,0.625,1.25
5,48,64,4,8,64,7,0.109375,1.875,2.5
5,48,64,8,12,64,7,0.109375,1.875,2.5
5,64,80,4,8,64,7,0.109375,2.5,3.125
6,112,128,0,4,64,7,0.109375,4.375,5.0
6,128,144,0,4,64,7,0.109375,5.0,5.625
6,128,144,4,8,64,7,0.109375,5.0,5.625
6,128,144,12,16,64,7,0.109375,5.0,5.625
7,64,80,12,16,64,7,0.109375,2.5,3.125
7,80,96,4,8,64,7,0.109375,3.125,3.75
7,96,112,12,16,64,7,0.109375,3.75,4.375
3,0,16,4,8,64,6,0.09375,0.0,0.625
3,64,80,0,4,64,6,0.09375,2.5,3.125
4,16,32,0,4,64,6,0.09375,0.625,1.25
4,64,80,0,4,64,6,0.09375,2.5,3.125
4,144,160,12,16,64,6,0.09375,5.625,6.25
4,160,176,0,4,64,6,0.09375,6.25,6.875
5,0,16,4,8,64,6,0.09375,0.0,0.625
5,128,144,4,8,64,6,0.09375,5.0,5.625
6,16,32,4,8,64,6,0.09375,0.625,1.25
6,80,96,12,16,64,6,0.09375,3.125,3.75
7,0,16,8,12,64,6,0.09375,0.0,0.625
7,16,32,4,8,64,6,0.09375,0.625,1.25
7,16,32,8,12,64,6,0.09375,0.625,1.25
7,112,128,0,4,64,6,0.09375,4.375,5.0
7,128,144,0,4,64,6,0.09375,5.0,5.625
7,144,160,0,4,64,6,0.09375,5.625,6.25
7,160,176,4,8,64,6,0.09375,6.25,6.875
3,0,16,12,16,64,5,0.078125,0.0,0.625
3,80,96,8,12,64,5,0.078125,3.125,3.75
3,160,176,12,16,64,5,0.078125,6.25,6.875
4,0,16,0,4,64,5,0.078125,0.0,0.625
4,32,48,4,8,64,5,0.078125,1.25,1.875
4,64,80,12,16,64,5,0.078125,2.5,3.125
4,96,112,12,16,64,5,0.078125,3.75,4.375
5,16,32,8,12,64,5,0.078125,0.625,1.25
5,32,48,4,8,64,5,0.078125,1.25,1.875
5,32,48,12,16,64,5,0.078125,1.25,1.875
5,64,80,8,12,64,5,0.078125,2.5,3.125
5,144,160,0,4,64,5,0.078125,5.625,6.25
5,144,160,12,16,64,5,0.078125,5.625,6.25
6,0,16,4,8,64,5,0.078125,0.0,0.625
6,16,32,0,4,64,5,0.078125,0.625,1.25
6,32,48,0,4,64,5,0.078125,1.25,1.875
6,48,64,8,12,64,5,0.078125,1.875,2.5
6,80,96,8,12,64,5,0.078125,3.125,3.75
6,144,160,0,4,64,5,0.078125,5.625,6.25
7,0,16,12,16,64,5,0.078125,0.0,0.625
7,32,48,4,8,64,5,0.078125,1.25,1.875
7,48,64,12,16,64,5,0.078125,1.875,2.5
7,144,160,8,12,64,5,0.078125,5.625,6.25
7,160,176,0,4,64,5,0.078125,6.25,6.875
3,48,64,4,8,64,4,0.0625,1.875,2.5
3,80,96,12,16,64,4,0.0625,3.125,3.75
3,96,112,0,4,64,4,0.0625,3.75,4.375
3,144,160,8,12,64,4,0.0625,5.625,6.25
4,0,16,4,8,64,4,0.0625,0.0,0.625
4,16,32,4,8,64,4,0.0625,0.625,1.25
4,32,48,8,12,64,4,0.0625,1.25,1.875
4,48,64,4,8,64,4,0.0625,1.875,2.5
4,112,128,4,8,64,4,0.0625,4.375,5.0
4,176,192,8,12,16,1,0.0625,6.875,7.5
4,176,192,12,16,16,1,0.0625,6.875,7.5
5,32,48,8,12,64,4,0.0625,1.25,1.875
5,96,112,8,12,64,4,0.0625,3.75,4.375
5,128,144,8,12,64,4,0.0625,5.0,5.625
6,48,64,4,8,64,4,0.0625,1.875,2.5
6,64,80,8,12,64,4,0.0625,2.5,3.125
6,160,176,4,8,64,4,0.0625,6.25,6.875
6,160,176,8,12,64,4,0.0625,6.25,6.875
6,176,192,12,16,16,1,0.0625,6.875,7.5
7,32,48,12,16,64,4,0.0625,1.25,1.875
7,48,64,4,8,64,4,0.0625,1.875,2.5
7,64,80,0,4,64,4,0.0625,2.5,3.125
7,96,112,8,12,64,4,0.0625,3.75,4.375
7,112,128,4,8,64,4,0.0625,4.375,5.0
7,176,192,0,4,16,1,0.0625,6.875,7.5
7,176,192,4,8,16,1,0.0625,6.875,7.5
7,176,192,12,16,16,1,0.0625,6.875,7.5
3,80,96,4,8,64,3,0.046875,3.125,3.75
3,128,144,12,16,64,3,0.046875,5.0,5.625
3,144,160,12,16,64,3,0.046875,5.625,6.25
4,16,32,8,12,64,3,0.046875,0.625,1.25
4,80,96,8,12,64,3,0.046875,3.125,3.75
4,112,128,8,12,64,3,0.046875,4.375,5.0
