freq,total,errors,ber
0,900,188,0.20888888835906982
1,900,136,0.15111111104488373
2,900,111,0.12333333492279053
3,900,104,0.11555555462837219
4,900,63,0.07000000029802322
5,900,78,0.08666666597127914
6,900,55,0.06111111119389534
7,900,58,0.06444444507360458
8,900,66,0.07333333045244217
9,900,45,0.05000000074505806
10,900,36,0.03999999910593033
11,900,40,0.04444444552063942
12,900,44,0.04888888821005821
13,900,45,0.05000000074505806
14,900,67,0.07444444298744202
15,900,123,0.1366666704416275
